"Key","Adv","ObDate","WindField","NE","SE","SW","NW"
"AL072016",23,2016-08-28 09:00:00,"34","120","120","50","80"
"AL072016",22,2016-08-28 03:00:00,"64","15","15","10","15"
"AL072016",22,2016-08-28 03:00:00,"50","60","40","30","40"
"AL072016",22,2016-08-28 03:00:00,"34","120","120","50","80"
"AL072016",21,2016-08-27 21:00:00,"50","50","40","20","40"
"AL072016",21,2016-08-27 21:00:00,"34","130","90","50","110"
"AL072016",20,2016-08-27 15:00:00,"50","50","30","20","30"
"AL072016",20,2016-08-27 15:00:00,"34","130","80","40","100"
"AL072016",19,2016-08-27 09:00:00,"50","50","30","0","30"
"AL072016",19,2016-08-27 09:00:00,"34","130","80","40","100"
"AL072016",18,2016-08-27 03:00:00,"50","50","30","0","30"
"AL072016",18,2016-08-27 03:00:00,"34","130","80","40","100"
"AL072016",17,2016-08-26 21:00:00,"50","50","30","0","30"
"AL072016",17,2016-08-26 21:00:00,"34","130","80","40","100"
"AL072016",16,2016-08-26 15:00:00,"50","70","40","0","40"
"AL072016",16,2016-08-26 15:00:00,"34","130","100","40","100"
"AL072016",15,2016-08-26 09:00:00,"50","70","30","0","60"
"AL072016",15,2016-08-26 09:00:00,"34","110","80","30","100"
"AL072016",14,2016-08-26 03:00:00,"50","70","30","0","60"
"AL072016",14,2016-08-26 03:00:00,"34","100","70","30","100"
"AL072016",13,2016-08-25 21:00:00,"50","70","30","0","60"
"AL072016",13,2016-08-25 21:00:00,"34","100","70","30","100"
